Team        Abbreviation
NewJersey        BKN
Philadelphia        PHI
Houston        HOU
Boston        BOS
Sacramento        SAC
Atlanta        ATL
SanAntonio        SAS
LAClippers        LAC
Detroit        DET
Portland        POR
Dallas        DAL
LALakers        LAL
Memphis        MEM
GoldenState        GSW
Indiana        IND
Minnesota        MIN
OklahomaCity        OKC
NewYork        NYK
Milwaukee        MIL
Toronto        TOR
Chicago        CHI
Washington        WAS
Denver        DEN
Cleveland        CLE
Charlotte        CHA
Utah        UTA
NewOrleans        NOP
Phoenix        PHX
Orlando        ORL
Miami        MIA
Seattle        OKC
Brooklyn        BKN
